country,year,household debt,labour comp per hour,age group,poverty rate,internet access,unemployment rate
Australia,1995,94.86145,5.638905,,,,8.472281
Australia,1996,98.62147,6.317506,,,,8.506114
Australia,1997,106.6224,2.936676,,,,8.362488
Australia,1998,114.0952,3.603118,,,,7.677428999999999
Australia,1999,120.429,1.888844,,,,6.873791000000001
Australia,2000,125.2092,5.489816,,,,6.285546
Australia,2001,130.5223,5.170806,,,,6.742172999999999
Australia,2002,150.0406,3.6334239999999998,,,,6.368911
Australia,2003,161.5096,4.3395150000000005,,,,5.92842
Australia,2004,171.8057,3.4185809999999996,,,,5.3967339999999995
Australia,2005,181.8293,4.108213,,,60.0,5.033881
Australia,2006,186.9583,5.25018,,,64.0,4.78524
Australia,2007,189.7027,6.134464,,,67.0,4.379151
Australia,2008,183.4667,5.4118699999999995,,,72.0,4.23433
Australia,2009,189.4346,0.712338,,,,5.560385
Australia,2010,187.3372,7.812032,,,78.92,5.2133400000000005
Australia,2011,185.9569,2.7852259999999998,,,,5.081195
Australia,2012,187.2603,3.054148,0-17,0.129,83.0,5.223376
Australia,2012,187.2603,3.054148,total,0.14,83.0,5.223376
Australia,2012,187.2603,3.054148,18-65,0.107,83.0,5.223376
Australia,2012,187.2603,3.054148,66+,0.335,83.0,5.223376
Australia,2013,187.7718,2.9209549999999997,,,,5.66194
Australia,2014,191.8578,1.182617,0-17,0.13,85.89,6.077244
Australia,2014,191.8578,1.182617,total,0.128,85.89,6.077244
Australia,2014,191.8578,1.182617,18-65,0.102,85.89,6.077244
Australia,2014,191.8578,1.182617,66+,0.257,85.89,6.077244
Australia,2015,199.3722,2.6819509999999998,,,,6.056423000000001
Australia,2016,206.6359,-0.260905,0-17,0.125,86.11,5.710301
Australia,2016,206.6359,-0.260905,total,0.121,86.11,5.710301
Australia,2016,206.6359,-0.260905,18-65,0.094,86.11,5.710301
Australia,2016,206.6359,-0.260905,66+,0.23199999999999998,86.11,5.710301
Australia,2017,212.8164,1.896506,,,,5.59376
Australia,2018,216.8332,,0-17,0.133,,5.299829
Australia,2018,216.8332,,total,0.124,,5.299829
Australia,2018,216.8332,,18-65,0.096,,5.299829
Australia,2018,216.8332,,66+,0.237,,5.299829
Austria,1995,65.85123,,,,,3.699785
Austria,1996,68.45939,-0.031777,,,,4.139831
Austria,1997,70.87100000000001,0.7103619999999999,,,,4.242406
Austria,1998,70.46921,3.820385,,,,4.235766
Austria,1999,73.53783,1.918016,,,,3.727968
Austria,2000,75.41841,2.617126,,,,3.533025
Austria,2001,77.01186,1.991982,,,,3.5908599999999997
Austria,2002,78.95232,2.389616,,,,3.951978
Austria,2003,79.08277,2.177083,,,,4.286487
Austria,2004,81.19778000000001,1.6501150000000002,,,,5.49025
Austria,2005,87.18607,2.7890580000000003,,,46.6887,5.628417
Austria,2006,88.55872,3.966906,,,52.2965,5.246718
Austria,2007,88.36625,3.148747,0-17,0.09699999999999999,59.623000000000005,4.8589519999999995
Austria,2007,88.36625,3.148747,total,0.09699999999999999,59.623000000000005,4.8589519999999995
Austria,2007,88.36625,3.148747,18-65,0.08800000000000001,59.623000000000005,4.8589519999999995
Austria,2007,88.36625,3.148747,66+,0.133,59.623000000000005,4.8589519999999995
Austria,2008,89.79839,3.0423240000000003,0-17,0.098,68.92,4.129104
Austria,2008,89.79839,3.0423240000000003,total,0.09300000000000001,68.92,4.129104
Austria,2008,89.79839,3.0423240000000003,18-65,0.083,68.92,4.129104
Austria,2008,89.79839,3.0423240000000003,66+,0.127,68.92,4.129104
Austria,2009,90.11239,4.226997,0-17,0.11,69.7507,5.298988
Austria,2009,90.11239,4.226997,total,0.096,69.7507,5.298988
Austria,2009,90.11239,4.226997,18-65,0.086,69.7507,5.298988
Austria,2009,90.11239,4.226997,66+,0.11599999999999999,69.7507,5.298988
Austria,2010,93.71614,1.116817,0-17,0.1,72.8891,4.821680000000001
Austria,2010,93.71614,1.116817,total,0.08900000000000001,72.8891,4.821680000000001
Austria,2010,93.71614,1.116817,18-65,0.079,72.8891,4.821680000000001
Austria,2010,93.71614,1.116817,66+,0.113,72.8891,4.821680000000001
Austria,2011,93.2784,2.0352189999999997,0-17,0.092,75.4407,4.566622
Austria,2011,93.2784,2.0352189999999997,total,0.091,75.4407,4.566622
Austria,2011,93.2784,2.0352189999999997,18-65,0.087,75.4407,4.566622
Austria,2011,93.2784,2.0352189999999997,66+,0.10800000000000001,75.4407,4.566622
Austria,2012,91.04684,3.724269,0-17,0.10400000000000001,79.2846,4.863267
Austria,2012,91.04684,3.724269,total,0.096,79.2846,4.863267
Austria,2012,91.04684,3.724269,18-65,0.08900000000000001,79.2846,4.863267
Austria,2012,91.04684,3.724269,66+,0.113,79.2846,4.863267
Austria,2013,90.82967,2.925548,0-17,0.10400000000000001,80.8626,5.336031
Austria,2013,90.82967,2.925548,total,0.09,80.8626,5.336031
Austria,2013,90.82967,2.925548,18-65,0.084,80.8626,5.336031
Austria,2013,90.82967,2.925548,66+,0.099,80.8626,5.336031
Austria,2014,90.48385999999999,2.2211369999999997,0-17,0.10800000000000001,80.9946,5.621219
Austria,2014,90.48385999999999,2.2211369999999997,total,0.091,80.9946,5.621219
Austria,2014,90.48385999999999,2.2211369999999997,18-65,0.087,80.9946,5.621219
