country,year,pov_rate
AUSTRALIA,2012,0.14
AUSTRALIA,2014,0.128
AUSTRALIA,2016,0.121
AUSTRALIA,2018,0.124
AUSTRIA,2007,0.09699999999999999
AUSTRIA,2008,0.09300000000000001
AUSTRIA,2009,0.096
AUSTRIA,2010,0.08900000000000001
AUSTRIA,2011,0.091
AUSTRIA,2012,0.096
AUSTRIA,2013,0.09
AUSTRIA,2014,0.091
AUSTRIA,2015,0.087
AUSTRIA,2016,0.098
AUSTRIA,2017,0.094
BELGIUM,2004,0.086
BELGIUM,2005,0.092
BELGIUM,2006,0.10099999999999999
BELGIUM,2007,0.09300000000000001
BELGIUM,2008,0.094
BELGIUM,2009,0.098
BELGIUM,2010,0.099
BELGIUM,2011,0.09699999999999999
BELGIUM,2012,0.1
BELGIUM,2013,0.098
BELGIUM,2014,0.091
BELGIUM,2015,0.098
BELGIUM,2016,0.098
BELGIUM,2017,0.102
CANADA,1976,0.131
CANADA,1977,0.139
CANADA,1978,0.132
CANADA,1979,0.133
CANADA,1980,0.131
CANADA,1981,0.12300000000000001
CANADA,1982,0.125
CANADA,1983,0.132
CANADA,1984,0.133
CANADA,1985,0.124
CANADA,1986,0.11900000000000001
CANADA,1987,0.12
CANADA,1988,0.114
CANADA,1989,0.109
CANADA,1990,0.11900000000000001
CANADA,1991,0.11800000000000001
CANADA,1992,0.121
CANADA,1993,0.11900000000000001
CANADA,1994,0.11699999999999999
CANADA,1995,0.11800000000000001
CANADA,1996,0.124
CANADA,1997,0.125
CANADA,1998,0.124
CANADA,1999,0.11699999999999999
CANADA,2000,0.12
CANADA,2001,0.11699999999999999
CANADA,2002,0.12300000000000001
CANADA,2003,0.124
CANADA,2004,0.129
CANADA,2005,0.12300000000000001
CANADA,2006,0.129
CANADA,2007,0.129
CANADA,2008,0.127
CANADA,2009,0.134
CANADA,2010,0.131
CANADA,2011,0.131
CANADA,2012,0.133
CANADA,2013,0.133
CANADA,2014,0.126
CANADA,2015,0.142
CANADA,2016,0.124
CANADA,2017,0.121
CZECH REPUBLIC,2004,0.057999999999999996
CZECH REPUBLIC,2005,0.055
CZECH REPUBLIC,2006,0.055999999999999994
CZECH REPUBLIC,2007,0.055
CZECH REPUBLIC,2008,0.059000000000000004
CZECH REPUBLIC,2009,0.06
CZECH REPUBLIC,2010,0.065
CZECH REPUBLIC,2011,0.059000000000000004
CZECH REPUBLIC,2012,0.052000000000000005
CZECH REPUBLIC,2013,0.059000000000000004
CZECH REPUBLIC,2014,0.059000000000000004
CZECH REPUBLIC,2015,0.064
CZECH REPUBLIC,2016,0.055999999999999994
CZECH REPUBLIC,2017,0.055999999999999994
DENMARK,2011,0.057999999999999996
DENMARK,2012,0.054000000000000006
DENMARK,2013,0.054000000000000006
DENMARK,2014,0.055
DENMARK,2015,0.055
DENMARK,2016,0.057999999999999996
FINLAND,1987,0.052000000000000005
FINLAND,1988,0.055999999999999994
FINLAND,1989,0.057
FINLAND,1990,0.055999999999999994
FINLAND,1991,0.054000000000000006
FINLAND,1992,0.05
FINLAND,1993,0.042
FINLAND,1994,0.042
FINLAND,1995,0.042
FINLAND,1996,0.046
FINLAND,1997,0.048
FINLAND,1998,0.05
FINLAND,1999,0.052000000000000005
FINLAND,2000,0.053
FINLAND,2001,0.063
FINLAND,2002,0.062
FINLAND,2003,0.055999999999999994
FINLAND,2004,0.065
FINLAND,2005,0.066
FINLAND,2006,0.069
FINLAND,2007,0.078
FINLAND,2008,0.079
FINLAND,2009,0.07400000000000001
FINLAND,2010,0.07200000000000001
FINLAND,2011,0.075
