year,Korea,Costa Rica,Mexico,Chile,Greece,Iceland,Israel,Poland,Russian Federation,Estonia,Latvia,Turkey,Ireland,Portugal,Czech Republic,Italy,Lithuania,Hungary,New Zealand,United States,OECD countries,Japan,Slovak Republic,Austria,Australia,Canada,Spain,Finland,Slovenia,United Kingdom,Switzerland,Sweden,Luxembourg,Belgium,France,Denmark,Netherlands,Norway,Germany
2000,2512,2368,2311,2263,2108,2040,1998,1988,1982,1978,1976,1937,1933,1917,1896,1851,1846,1845,1836,1834,1829,1821,1816,1807,1779,1779,1753,1742,1710,1700,1674,1642,1602,1595,1535,1466,1462,1455,1452
2001,2499,2335,2285,2242,2101,2053,1979,1974,1980,1970,1987,1942,1924,1900,1818,1838,1831,1809,1825,1812,1815,1809,1801,1795,1737,1771,1763,1723,1696,1705,1635,1618,1586,1588,1526,1469,1452,1429,1442
2002,2464,2363,2271,2250,2093,2012,1993,1979,1982,1973,1938,1943,1904,1894,1816,1827,1802,1820,1826,1807,1807,1798,1754,1792,1732,1754,1765,1714,1721,1684,1614,1595,1581,1583,1487,1463,1435,1414,1431
2003,2424,2356,2277,2235,2091,1972,1974,1984,1993,1978,1928,1943,1887,1887,1806,1816,1786,1795,1823,1797,1802,1799,1698,1784,1736,1746,1756,1705,1724,1674,1627,1582,1579,1578,1484,1458,1427,1401,1425
2004,2392,2375,2271,2232,2083,1980,1942,1983,1993,1986,1878,1918,1875,1893,1817,1815,1879,1802,1830,1799,1803,1787,1742,1787,1734,1759,1742,1707,1737,1674,1657,1605,1578,1573,1513,1458,1448,1421,1422
2005,2351,2358,2290,2157,2136,1970,1931,1994,1989,2008,1906,1936,1883,1895,1817,1812,1879,1803,1815,1795,1800,1775,1769,1764,1729,1747,1726,1697,1697,1673,1652,1605,1550,1565,1507,1451,1434,1423,1411
2006,2346,2366,2278,2165,2125,1958,1919,1985,1998,2001,1907,1944,1879,1883,1799,1813,1874,1800,1795,1798,1800,1784,1774,1746,1721,1745,1716,1693,1667,1669,1643,1599,1552,1572,1484,1456,1430,1420,1425
2007,2306,2393,2260,2128,2111,1932,1931,1976,1999,1998,1878,1911,1865,1900,1784,1818,1904,1795,1774,1796,1797,1785,1791,1736,1712,1741,1704,1691,1655,1677,1633,1612,1566,1577,1500,1433,1430,1426,1424
2008,2219,2398,2264,2095,2106,1934,1929,1969,1997,1968,2002,1900,1844,1887,1790,1807,1934,1798,1761,1789,1792,1771,1793,1729,1717,1735,1713,1685,1674,1659,1623,1617,1567,1570,1507,1430,1430,1430,1418
2009,2174,2354,2255,2074,2081,1849,1927,1948,1974,1831,1952,1881,1812,1887,1779,1776,1863,1781,1740,1763,1765,1714,1780,1673,1690,1701,1720,1661,1679,1651,1615,1609,1516,1548,1489,1417,1422,1407,1373
2010,2163,2249,2254,2070,2020,1834,1918,1940,1976,1875,1935,1877,1801,1890,1800,1777,1884,1777,1755,1774,1774,1733,1805,1669,1692,1703,1710,1668,1680,1650,1612,1635,1517,1546,1494,1422,1421,1415,1390
2011,2133,2290,2248,2047,2038,1878,1920,1938,1979,1919,1952,1864,1801,1867,1806,1773,1859,1770,1746,1782,1772,1728,1793,1676,1698,1700,1716,1662,1663,1634,1605,1632,1515,1560,1496,1437,1422,1421,1393
2012,2109,2243,2239,2024,2055,1853,1910,1929,1982,1886,1934,1855,1806,1849,1776,1734,1857,1750,1734,1785,1770,1745,1789,1653,1689,1713,1701,1650,1644,1654,1591,1618,1508,1560,1490,1423,1413,1420,1375
2013,2100,2157,2244,2015,2059,1846,1867,1918,1980,1866,1928,1832,1815,1859,1763,1720,1841,1745,1752,1783,1765,1734,1772,1638,1685,1707,1694,1640,1662,1666,1573,1609,1501,1558,1474,1426,1418,1408,1362
2014,2075,2136,2242,1990,2022,1864,1853,1923,1985,1859,1938,0,1821,1867,1777,1717,1834,1752,1762,1786,1764,1729,1760,1628,1681,1704,1697,1636,1682,1677,1568,1609,1508,1556,1473,1414,1429,1427,1368
2015,2082,2157,2248,1988,2033,1880,1858,1963,1978,1852,1909,0,1820,1869,1756,1723,1860,1746,1757,1786,1766,1719,1754,1608,1682,1707,1701,1641,1688,1674,1590,1611,1515,1551,1482,1412,1422,1424,1368
