Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Korea;2512;2499;2464;2424;2392;2351;2346;2306;2219;2174;2163;2133;2109;2100;2075;2082;
Costa Rica;2368;2335;2363;2356;2375;2358;2366;2393;2398;2354;2249;2290;2243;2157;2136;2157;
Mexico;2311;2285;2271;2277;2271;2290;2278;2260;2264;2255;2254;2248;2239;2244;2242;2248;
Chile;2263;2242;2250;2235;2232;2157;2165;2128;2095;2074;2070;2047;2024;2015;1990;1988;
Greece;2108;2101;2093;2091;2083;2136;2125;2111;2106;2081;2020;2038;2055;2059;2022;2033;
Iceland;2040;2053;2012;1972;1980;1970;1958;1932;1934;1849;1834;1878;1853;1846;1864;1880;
Israel;1998;1979;1993;1974;1942;1931;1919;1931;1929;1927;1918;1920;1910;1867;1853;1858;
Poland;1988;1974;1979;1984;1983;1994;1985;1976;1969;1948;1940;1938;1929;1918;1923;1963;
Russian Federation;1982;1980;1982;1993;1993;1989;1998;1999;1997;1974;1976;1979;1982;1980;1985;1978;
Estonia;1978;1970;1973;1978;1986;2008;2001;1998;1968;1831;1875;1919;1886;1866;1859;1852;
Latvia;1976;1987;1938;1928;1878;1906;1907;1878;2002;1952;1935;1952;1934;1928;1938;1909;
Turkey;1937;1942;1943;1943;1918;1936;1944;1911;1900;1881;1877;1864;1855;1832;0;0;
Ireland;1933;1924;1904;1887;1875;1883;1879;1865;1844;1812;1801;1801;1806;1815;1821;1820;
Portugal;1917;1900;1894;1887;1893;1895;1883;1900;1887;1887;1890;1867;1849;1859;1867;1869;
Czech Republic;1896;1818;1816;1806;1817;1817;1799;1784;1790;1779;1800;1806;1776;1763;1777;1756;
Italy;1851;1838;1827;1816;1815;1812;1813;1818;1807;1776;1777;1773;1734;1720;1717;1723;
Lithuania;1846;1831;1802;1786;1879;1879;1874;1904;1934;1863;1884;1859;1857;1841;1834;1860;
Hungary;1845;1809;1820;1795;1802;1803;1800;1795;1798;1781;1777;1770;1750;1745;1752;1746;
New Zealand;1836;1825;1826;1823;1830;1815;1795;1774;1761;1740;1755;1746;1734;1752;1762;1757;
United States;1834;1812;1807;1797;1799;1795;1798;1796;1789;1763;1774;1782;1785;1783;1786;1786;
OECD countries;1829;1815;1807;1802;1803;1800;1800;1797;1792;1765;1774;1772;1770;1765;1764;1766;
Japan;1821;1809;1798;1799;1787;1775;1784;1785;1771;1714;1733;1728;1745;1734;1729;1719;
Slovak Republic;1816;1801;1754;1698;1742;1769;1774;1791;1793;1780;1805;1793;1789;1772;1760;1754;
Austria;1807;1795;1792;1784;1787;1764;1746;1736;1729;1673;1669;1676;1653;1638;1628;1608;
Australia;1779;1737;1732;1736;1734;1729;1721;1712;1717;1690;1692;1698;1689;1685;1681;1682;
Canada;1779;1771;1754;1746;1759;1747;1745;1741;1735;1701;1703;1700;1713;1707;1704;1707;
Spain;1753;1763;1765;1756;1742;1726;1716;1704;1713;1720;1710;1716;1701;1694;1697;1701;
Finland;1742;1723;1714;1705;1707;1697;1693;1691;1685;1661;1668;1662;1650;1640;1636;1641;
Slovenia;1710;1696;1721;1724;1737;1697;1667;1655;1674;1679;1680;1663;1644;1662;1682;1688;
United Kingdom;1700;1705;1684;1674;1674;1673;1669;1677;1659;1651;1650;1634;1654;1666;1677;1674;
Switzerland;1674;1635;1614;1627;1657;1652;1643;1633;1623;1615;1612;1605;1591;1573;1568;1590;
Sweden;1642;1618;1595;1582;1605;1605;1599;1612;1617;1609;1635;1632;1618;1609;1609;1611;
Luxembourg;1602;1586;1581;1579;1578;1550;1552;1566;1567;1516;1517;1515;1508;1501;1508;1515;
Belgium;1595;1588;1583;1578;1573;1565;1572;1577;1570;1548;1546;1560;1560;1558;1556;1551;
France;1535;1526;1487;1484;1513;1507;1484;1500;1507;1489;1494;1496;1490;1474;1473;1482;
Denmark;1466;1469;1463;1458;1458;1451;1456;1433;1430;1417;1422;1437;1423;1426;1414;1412;
Netherlands;1462;1452;1435;1427;1448;1434;1430;1430;1430;1422;1421;1422;1413;1418;1429;1422;
Norway;1455;1429;1414;1401;1421;1423;1420;1426;1430;1407;1415;1421;1420;1408;1427;1424;
Germany;1452;1442;1431;1425;1422;1411;1425;1424;1418;1373;1390;1393;1375;1362;1368;1368;
